"ids"	"gene"	"polysaccharide"	"type"
"An11g00220"	"transporter"	"transporter"	"nonPBD"
"An02g08330"	"transporter"	"transporter"	"nonPBD"
"An02g00530"	"transporter"	"transporter"	"nonPBD"
"An14g06860"	"transporter"	"transporter"	"nonPBD"
"An16g06580"	"transporter"	"transporter"	"nonPBD"
"An16g07150"	"transporter"	"transporter"	"nonPBD"
"An08g08560"	"transporter"	"transporter"	"nonPBD"
"An14g00900"	"transporter"	"transporter"	"nonPBD"
"An18g04260"	"transporter"	"transporter"	"nonPBD"
"An08g01800"	"transporter"	"transporter"	"nonPBD"
"An02g14930"	"transporter"	"transporter"	"nonPBD"
"An08g01720"	"transporter"	"transporter"	"nonPBD"
"An15g00330"	"transporter"	"transporter"	"nonPBD"
"An02g06550"	"transporter"	"transporter"	"nonPBD"
"An07g09170"	"transporter"	"transporter"	"nonPBD"
"An15g01950"	"transporter"	"transporter"	"nonPBD"
"An18g01700"	"transporter"	"transporter"	"nonPBD"
"An02g00280"	"transporter"	"transporter"	"nonPBD"
"An16g07610"	"transporter"	"transporter"	"nonPBD"
"An02g12930"	"transporter"	"transporter"	"nonPBD"
"An10g00800"	"transporter"	"transporter"	"nonPBD"
"An11g03290"	"transporter"	"transporter"	"nonPBD"
"An02g03330"	"transporter"	"transporter"	"nonPBD"
"An18g00040"	"transporter"	"transporter"	"nonPBD"
"An05g00730"	"transporter"	"transporter"	"nonPBD"
"An03g05000"	"transporter"	"transporter"	"nonPBD"
"An16g01420"	"transporter"	"transporter"	"nonPBD"
"An02g01870"	"transporter"	"transporter"	"nonPBD"
"An04g00170"	"transporter"	"transporter"	"nonPBD"
"An07g06300"	"transporter"	"transporter"	"nonPBD"
"An04g06160"	"transporter"	"transporter"	"nonPBD"
"An02g11260"	"transporter"	"transporter"	"nonPBD"
"An15g05510"	"transporter"	"transporter"	"nonPBD"
"An07g07020"	"transporter"	"transporter"	"nonPBD"
"An03g04860"	"transporter"	"transporter"	"nonPBD"
"An11g04180"	"transporter"	"transporter"	"nonPBD"
"An04g01440"	"peptidase"	"peptidase"	"nonPBD"
"An15g06280"	"peptidase"	"peptidase"	"nonPBD"
"An12g03300"	"peptidase"	"peptidase"	"nonPBD"
"An11g09240"	"peptidase"	"peptidase"	"nonPBD"
"An11g09170"	"peptidase"	"peptidase"	"nonPBD"
"An07g00950"	"peptidase"	"peptidase"	"nonPBD"
"An18g01320"	"peptidase"	"peptidase"	"nonPBD"
"An13g02130"	"peptidase"	"peptidase"	"nonPBD"
"An11g00310"	"peptidase"	"peptidase"	"nonPBD"
"An03g01660"	"peptidase"	"peptidase"	"nonPBD"
"An11g01110"	"peptidase"	"peptidase"	"nonPBD"
"An03g01010"	"peptidase"	"peptidase"	"nonPBD"
"An01g01750"	"peptidase"	"peptidase"	"nonPBD"
"An07g00320"	"peptidase"	"peptidase"	"nonPBD"
"An01g00530"	"peptidase"	"peptidase"	"nonPBD"
"An15g07700"	"peptidase"	"peptidase"	"nonPBD"
"An14g03250"	"peptidase"	"peptidase"	"nonPBD"
"An14g04710"	"peptidase"	"peptidase"	"nonPBD"
"An04g02880"	"peptidase"	"peptidase"	"nonPBD"
"An01g13530"	"peptidase"	"peptidase"	"nonPBD"
"An04g01880"	"peptidase"	"peptidase"	"nonPBD"
"An06g01920"	"peptidase"	"peptidase"	"nonPBD"
"An01g07910"	"peptidase"	"peptidase"	"nonPBD"
"An14g02150"	"peptidase"	"peptidase"	"nonPBD"
"An02g04690"	"peptidase"	"peptidase"	"nonPBD"
"An07g03880"	"peptidase"	"peptidase"	"nonPBD"
"An01g02070"	"peptidase"	"peptidase"	"nonPBD"
"An13g01300"	"peptidase"	"peptidase"	"nonPBD"
"An16g02250"	"peptidase"	"peptidase"	"nonPBD"
"An08g04640"	"peptidase"	"peptidase"	"nonPBD"
"An14g02470"	"peptidase"	"peptidase"	"nonPBD"
"An12g04170"	"peptidase"	"peptidase"	"nonPBD"
"An01g11740"	"peptidase"	"peptidase"	"nonPBD"
"An18g06210"	"peptidase"	"peptidase"	"nonPBD"
"An02g13740"	"peptidase"	"peptidase"	"nonPBD"
"An17g00390"	"peptidase"	"peptidase"	"nonPBD"
"An09g00680"	"peptidase"	"peptidase"	"nonPBD"
"An14g00620"	"peptidase"	"peptidase"	"nonPBD"
"An07g08030"	"peptidase"	"peptidase"	"nonPBD"
"An05g02170"	"peptidase"	"peptidase"	"nonPBD"
"An07g10410"	"peptidase"	"peptidase"	"nonPBD"
"An04g09710"	"peptidase"	"peptidase"	"nonPBD"
"An06g00350"	"peptidase"	"peptidase"	"nonPBD"
"An09g03780"	"peptidase"	"peptidase"	"nonPBD"
"An06g00310"	"peptidase"	"peptidase"	"nonPBD"
"An17g00760"	"peptidase"	"peptidase"	"nonPBD"
"An03g05200"	"peptidase"	"peptidase"	"nonPBD"
"An08g00430"	"peptidase"	"peptidase"	"nonPBD"
"An06g02470"	"peptidase"	"peptidase"	"nonPBD"
"An07g00110"	"peptidase"	"peptidase"	"nonPBD"
"An08g04490"	"peptidase"	"peptidase"	"nonPBD"
"An14g01120"	"peptidase"	"peptidase"	"nonPBD"
"An12g05960"	"peptidase"	"peptidase"	"nonPBD"
"An06g00190"	"peptidase"	"peptidase"	"nonPBD"
"An02g07210"	"peptidase"	"peptidase"	"nonPBD"
"An09g03760"	"peptidase"	"peptidase"	"nonPBD"
"An11g08070"	"peptidase"	"peptidase"	"nonPBD"
